conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
Esophageal Squamous Cell Carcinoma,"The purpose of this study is to evaluate the efficacy and safety of tiragolumab plus atezolizumab compared with placebo in participants with unresectable esophageal squamous cell carcinoma (or those who are unable or unwilling to undergo surgery) and whose cancers have not progressed following definitive concurrent chemoradiotherapy (dCRT). Participants will be randomized in a 1:1:1 ratio to receive either tiragolumab plus atezolizumab (Arm A), tiragolumab matching placebo plus atezolizumab (Arm B), or double placebo (Arm C).",760,NCT04543617,2026-02-05,2026-01-16,No Change,A Study of Atezolizumab With or Without Tiragolumab in Participants With Unresectable Esophageal Squamous Cell Carcinoma Whose Cancers Have Not Progressed Following Definitive Concurrent Chemoradiotherapy,PHASE3,Arm A vs Arm C: Investigator-Assessed Progression-Free Survival (PFS),Hoffmann-La Roche,ACTIVE_NOT_RECRUITING,2027-03-31,2020-09-28,TIGIT
End Stage Renal Disease,"Tregs have been studied in clinical practice for different therapeutic applications. In the past several years there has been a significant interest in the transplant community to develop tolerance in order to substantially decrease or even eliminate the need of immuno-suppressive regimens. A growing body of evidence recognizes the balance between graft-reactive effector cells and graft-protective suppressor Treg cells as the ultimate determinant of long-term allograft survival. As a result, there is a major interest in transplantation to enhance the suppressor immune response as an alternative or complementary approach to reach a clinical tolerogenic state and preserve graft function. Exercise improves baseline immune function and helps to maintain immune homeostasis. Treg cell numbers have shown to increase with physical activity, and this increment has been directly correlated with exercise intensity. These results suggest that the increased Treg frequency may contribute to the beneficial effects of exercise on disorders associated with autoimmune disease or chronic low-grade inflammation such as atherosclerosis, diabetes mellitus, chronic kidney disease or cancer.

Primary Objectives: The overall purpose of this study is to determine the influence High-intensity interval training (HIIT) on the frequency and quality of peripheral Treg cells.

Secondary Objectives: Effects of HIIT in other T cell populations. Effects of HIIT in plasma concentration of inflammatory and metabolic markers. Effects of HIIT in obese vs lean.

Design: This is a prospective, single center, single-arm ""pre-test/post-test"" study designed to evaluate the safety, feasibility and initial efficacy of a 12-week HIIT regimen to increase the frequency and quality of peripheral Treg cells. All participants will have a pre-test (baseline) evaluation followed by a treatment and then a post-test.",0,NCT04774484,2026-02-05,2023-02-10,No Change,High-Intensity Interval Training and Regulatory T Cells,NA,Change from baseline concentration of circulating Regulatory T cells (Tregs) in blood at 12 weeks post HIIT intervention,Francesc Marti,WITHDRAWN,2026-06-30,2023-01,TIGIT
"Insomnia, Cancer","Women who are eligible and provide informed consent will be enrolled into this 2-armed, parallel group open label randomised controlled trial. Participants will be randomised 1:1 to receive dCBT-I (intervention arm) or to sleep hygiene education (control arm). The primary outcome will be the mean continuous change in sleep condition indicator (SCI) score in the intervention arm compared to the control arm at 6 months. In addition to this, the proportion of women with an SCI \> 16 at 6 months will be assessed. Secondary outcomes will include fatigue, sleep related quality of life, depression, anxiety, as well as hot flush interference in those experiencing vasomotor symptoms.",308,NCT05816460,2026-02-05,2023-05-19,No Change,The Sleepio After Cancer Study,NA,Mean continuous change in the intervention group compared to the control arm as measured by the Sleep Condition Indicator Score,University College Dublin,UNKNOWN,2024-06-10,2023-05-22,TIGIT
"Carcinoma, Non-Small Cell Lung","This is a Phase III, two-arm, randomized, double-blind, global, multicenter study assessing the efficacy and safety of rilvegostomig compared to pembrolizumab as a 1L treatment for patients with mNSCLC whose tumors express PD-L1.",830,NCT06868277,2026-02-05,2026-01-12,No Change,A Global Phase III Study of Rilvegostomig or Pembrolizumab Monotherapy for First-Line Treatment of PD-L1-high Metastatic Non-small Cell Lung Cancer,PHASE3,Overall Survival (OS),AstraZeneca,RECRUITING,2030-12-02,2025-04-10,TIGIT
Melanoma,"With Amendment 4, participants will discontinue treatment with pembrolizumab/vibostolimab.

The protocol-specified futility analysis of the primary outcome measure was completed with a data cut-off of 06-Mar-2024 (Primary Completion Date) and served as the final analysis of the primary outcome measure. Per protocol, 192 participants enrolled after the primary completion date and will be analyzed in the End of Trial analysis.",1594,NCT05665595,2026-02-19,2025-10-03,Changed,A Study of Adjuvant Pembrolizumab/Vibostolimab (MK-7684A) Versus Pembrolizumab for Resected High-Risk Melanoma in Participants With High-Risk Stage II-IV Melanoma (MK-7684A-010/KEYVIBE-010),PHASE3,Recurrence-Free Survival (RFS),Merck Sharp & Dohme LLC,COMPLETED,2025-09-26,2023-01-19,TIGIT
Melanoma,"With Amendment 6, all arms are closed to enrollment. Participants in arms 2 (pembrolizumab), 3 (coformulation pembrolizumab/quavonlimab), and 4 (coformulation pembrolizumab/quavonlimab + lenvatinib) who complete study treatment or otherwise meet end of treatment (EOT) criteria will be discontinued from the study after completing the EOT visit and any required safety follow-up visits. Participants in arm 6 (coformulation favezelimab/pembrolizumab + All-trans Retinoic Acid \[ATRA\]) will discontinue ATRA and participants in arms 5 and 6 can continue on coformulation favezelimab/pembrolizumab or pembrolizumab.",315,NCT04305054,2026-02-05,2025-08-28,No Change,Substudy 02B: Safety and Efficacy of Pembrolizumab in Combination With Investigational Agents or Pembrolizumab Alone in Participants With First Line (1L) Advanced Melanoma (MK-3475-02B/KEYMAKER-U02),"PHASE1, PHASE2",Percentage of participants who experience a dose-limiting toxicity (DLT): Safety lead-in phase,Merck Sharp & Dohme LLC,ACTIVE_NOT_RECRUITING,2026-04-20,2020-07-01,TIGIT
Small Cell Lung Cancer,"This study will evaluate the efficacy of tiragolumab plus atezolizumab and carboplatin and etoposide (CE) compared with placebo plus atezolizumab and CE in participants with chemotherapy-naive extensive-stage small cell lung cancer (ES-SCLC). Eligible participants will be stratified by Eastern Cooperative Oncology Group (ECOG) Performance Status (0 vs. 1), LDH (\</= upper limit of normal \[ULN\] vs. \> ULN), and presence or history of brain metastasis (yes vs. no) and randomly assigned in a 1:1 ratio to receive one of the following treatment regimens during induction phase:

* Arm A: Tiragolumab plus atezolizumab plus CE
* Arm B: Placebo plus atezolizumab plus CE

Following the induction phase, participants will continue maintenance therapy with either atezolizumab plus tiragolumab (Arm A) or atezolizumab plus placebo (Arm B).",490,NCT04256421,2026-02-05,2026-01-09,No Change,A Study of Atezolizumab Plus Carboplatin and Etoposide With or Without Tiragolumab in Patients With Untreated Extensive-Stage Small Cell Lung Cancer,PHASE3,Investigator-Assessed Progression Free Survival (PFS) in the Primary Analysis Set (PAS),Hoffmann-La Roche,COMPLETED,2025-07-31,2020-02-04,TIGIT
Non-Small Cell Lung Cancer,"The purpose of the study is to evaluate the efficacy and safety of tiragolumab plus atezolizumab compared with placebo plus atezolizumab in participants with previously untreated locally advanced, unresectable or metastatic PD-L1-selected non-small cell lung cancer (NSCLC), with no epidermal growth factor receptor (EGFR) mutation or anaplastic lymphoma kinase (ALK) translocation. Eligible participants will be randomized in a 1:1 ratio to receive either tiragolumab plus atezolizumab or placebo plus atezolizumab.",620,NCT04294810,2026-02-05,2026-01-29,No Change,A Study of Tiragolumab in Combination With Atezolizumab Compared With Placebo in Combination With Atezolizumab in Patients With Previously Untreated Locally Advanced Unresectable or Metastatic PD-L1-Selected Non-Small Cell Lung Cancer,PHASE3,Investigator-Assessed Progression-Free Survival (PFS) in the Primary Analysis Set,Hoffmann-La Roche,COMPLETED,2025-12-30,2020-03-04,TIGIT
"Hepatocellular Carcinoma, Immunotherapy, CAR, GPC3 Gene Inactivation, T Cell, Squamous Cell Lung Cancer","1. Choose appropriate patients with advanced hepatocellular carcinoma,with written consent for this study;
2. Perform biopsy to determine the expression of GPC3 of the tumor by western blotting or IHC;
3. Collect blood from the patients and isolate mononuclear cells, activate the T cells and transfect the T cells with GPC3/TGFβ targeting CAR (or/and scfv/cytokines-secreting), amplify the number of transfected T cells as needed, test the quality and killing activity of the GPC3/TGFβ-CART cells and then transplant back the patients via systemic or local infusions (via artery or intra-tumor), and follow up closely to collect related results as needed;
4. To enhance the killing capability, CD4+ T cells are genetically engineered to express TGFβ-CAR and secret IL7/CCL19 and/or SCFVs against PD1/CTLA4/Tigit; CD8+T cells are constructed to express GPC3-DAP10-CAR with knockdown of PD1/HPK1;
5. Evaluate the clinical results as needed.
6. Will also perform the similar clinical trial on lung squamous carcinoma with the GPC3 expression.",30,NCT03198546,2026-02-05,2024-06-22,No Change,GPC3-CAR-T Cells for Immunotherapy of Cancer With GPC3 Expression,PHASE1,Number of Patients with Dose Limiting Toxicity,Second Affiliated Hospital of Guangzhou Medical University,RECRUITING,2036-08-01,2017-07-01,TIGIT
Non-small Cell Lung Cancer,"This is a Phase III, two-arm, randomized, double-blind, global, multicenter study assessing the efficacy and safety of rilvegostomig compared to pembrolizumab, both in combination with platinum-based doublet chemotherapy, as a first-line (1L) treatment for patients with squamous metastatic non-small cell lung cancer (mNSCLC) whose tumors express PD-L1 (tumor cells (TC) ≥ 1%).",880,NCT06692738,2026-02-05,2026-01-20,No Change,A Global Phase III Study of Rilvegostomig or Pembrolizumab Plus Chemotherapy for First-Line Treatment of Metastatic Squamous Non-small Cell Lung Cancer (NSCLC),PHASE3,Overall survival (OS),AstraZeneca,RECRUITING,2029-10-08,2024-11-18,TIGIT
"Lung Cancer, Cancer, Immunotherapy, CAR-T Cell","1. Choose appropriate patients with advanced lung or other cancers,with written consent for this study;
2. Perform biopsy to determine the expression of HER2, Mesothelin, Lewis-Y, PSCA, MUC1, GPC3, AXL, EGFR, Claudin18.2, or B7-H3 of the tumor by western blotting or IHC;
3. Collect blood from the patients and isolate mononuclear cells, activate the T cells and transfect the T cells with GPC3, Mesothelin, Claudin18.2, GUCY2C, B7-H3, PSCA, PSMA, MUC1, TGFβ, HER2, Lewis-Y, AXL, or EGFR targeting CAR, amplify the transfected T cells as needed, test the quality and killing activity of the CAR-T cells and then transfer them back the patients via systemic or local injections, and follow up closely to collect related results as needed;
4. To enhance the killing capability, CD4+ T cells are genetically engineered to express TGFβ-CAR and secret IL7/CCL19 and/or SCFVs against PD1/CTLA4/Tigit; CD8+T cells are constructed to express GPC3/Mesothelin/Claudin18.2/GUCY2C/B7-H3/PSCA/PSMA/MUC1/TGFβ/HER2/Lewis-Y/AXL/EGFR

   -DAP10-CAR with knockdown of PD1/HPK1;
5. Other cancers with these cell surface antigen expressions are also recruited if needed;
6. Evaluate the clinical results as needed.",30,NCT03198052,2026-02-05,2024-06-22,No Change,GPC3/Mesothelin/Claudin18.2/GUCY2C/B7-H3/PSCA/PSMA/MUC1/TGFβ/HER2/Lewis-Y/AXL/EGFR-CAR-T Cells Against Cancers,PHASE1,Number of Patients with Dose Limiting Toxicity,Second Affiliated Hospital of Guangzhou Medical University,RECRUITING,2036-08-01,2017-07-01,TIGIT
